VendorID,VendorName,Category,ItemMaterial,UnitPrice,PriceScore,QualityScore,DeliveryScore,ComplaintCount,ReliabilityScore,OnTimeDeliveryRate,ContractValue,VendorScore,RiskLevel
V0072,FutureNet Technologies,Logistics Services,Transport Services,62500,65,55,52,5,48,52,2738260,57.5,High
V0073,OfficeMart Lanka,Logistics Services,Freight Transportation,234800,44,88,74,2,100,87,3119866,76.8,Medium
V0074,SmartTech Distributors,Office Supplies,Stationery,3150,94,97,56,13,43,55,2899391,71.05,Medium
V0075,Prime Stationery Traders,Raw Materials,Industrial Raw Materials,70400,97,50,44,19,59,48,2224830,57.85,High
V0076,Alpha IT Systems,Furniture,Storage Cabinets,73600,51,99,95,14,48,60,1104128,69.1,Medium
V0077,Alpha IT Systems,Electrical Items,Electrical Cables,4250,69,89,71,13,70,98,3114696,71.2,Medium
V0078,TechGlobal Solutions,Furniture,Meeting Tables,127550,67,47,76,0,72,46,4046574,68.1,Medium
V0079,ABC Raw Materials,Furniture,Office Furniture,171300,93,93,72,1,88,72,999204,88.0,Low
V0080,TechGlobal Solutions,Logistics Services,Local Delivery,39900,94,72,54,5,81,66,4553366,76.0,Medium
V0081,OfficeMart Lanka,IT Equipment,Printers,115750,56,54,44,5,97,79,2808399,63.2,Medium
V0082,Digital Edge Suppliers,Electrical Items,Switches and Sockets,3550,92,74,78,6,47,77,4768973,73.5,Medium
V0083,FutureNet Technologies,Furniture,Office Desks,119400,69,91,72,4,40,63,1176025,70.4,Medium
V0084,FutureNet Technologies,Raw Materials,Plastic Materials,10850,82,80,83,15,61,79,3281145,71.8,Medium
V0085,ABC Raw Materials,Logistics Services,Warehouse Services,75350,87,49,70,3,88,51,3886360,74.1,Medium
V0086,TechGlobal Solutions,Mechanical Parts,Industrial Components,71750,53,82,100,2,73,89,2285237,77.35,Medium
V0087,TechGlobal Solutions,Electrical Items,Circuit Breakers,3100,80,52,45,14,68,61,2956515,58.6,High
V0088,Elite Office Solutions,Logistics Services,Cargo Handling,38700,45,54,88,5,60,96,2299727,61.85,Medium
V0089,Prime Stationery Traders,Office Supplies,Files and Folders,2250,54,65,99,5,51,95,1048304,67.25,Medium
V0090,FutureNet Technologies,Office Supplies,Ink Cartridges,26050,50,43,84,10,99,95,1337986,64.85,Medium
V0091,OfficeMart Lanka,Office Supplies,Office Consumables,6000,92,56,53,1,95,79,2179929,76.1,Medium
V0092,Lanka Industrial Suppliers,Safety Equipment,Safety Helmets,6450,80,98,49,16,76,50,1262366,71.5,Medium
V0093,Prime Stationery Traders,Electrical Items,Electrical Components,8650,45,81,83,17,91,73,766005,67.8,Medium
V0094,Digital Edge Suppliers,Office Supplies,Printer Paper,4900,86,99,49,1,46,45,2087270,74.75,Medium
V0095,SmartTech Distributors,Mechanical Parts,Bearings,19050,93,51,53,8,80,51,3066466,68.6,Medium
V0096,FutureNet Technologies,Raw Materials,Metal Materials,54600,41,55,66,8,43,79,2320860,51.8,High
V0097,Alpha IT Systems,Furniture,Office Chairs,41050,43,54,100,18,49,100,1615131,55.05,High
V0098,Lanka Industrial Suppliers,IT Equipment,Computer Accessories,3300,47,57,91,8,47,68,2163960,59.6,High
V0099,ABC Raw Materials,Electrical Items,LED Lighting,7450,90,96,87,11,54,66,2985674,79.2,Medium
V0100,SmartTech Distributors,Electrical Items,Electrical Cables,2500,88,94,64,16,43,64,2906302,68.9,Medium
V0101,Alpha IT Systems,Electrical Items,Switches and Sockets,2850,54,82,43,11,87,76,2689578,64.5,Medium
V0102,Digital Edge Suppliers,Furniture,Storage Cabinets,50250,61,66,93,15,44,54,2180416,61.65,Medium
V0103,TechGlobal Solutions,Furniture,Meeting Tables,58000,84,51,43,5,48,63,2706635,59.45,High
V0104,FutureNet Technologies,Raw Materials,Production Materials,57800,68,42,76,10,72,95,598919,62.1,Medium
V0105,Digital Edge Suppliers,Safety Equipment,Protective Gloves,3850,88,83,98,4,78,94,3202084,85.95,Low
V0106,Elite Office Solutions,Logistics Services,Transport Services,46400,97,47,48,0,81,40,4777663,71.8,Medium
V0107,SmartTech Distributors,Logistics Services,Freight Transportation,226100,53,54,87,2,58,58,575361,64.75,Medium
V0108,Elite Office Solutions,Raw Materials,Packaging Materials,4850,84,73,67,14,41,58,1280586,63.85,Medium
V0109,Elite Office Solutions,Logistics Services,Local Delivery,29250,56,100,79,4,85,75,4334516,79.8,Medium
V0110,Lanka Industrial Suppliers,Office Supplies,Stationery,1700,96,95,78,6,50,77,4275317,80.35,Low
V0111,TechGlobal Solutions,Electrical Items,Circuit Breakers,10450,66,81,53,18,60,63,513480,60.35,Medium
V0112,ABC Raw Materials,Mechanical Parts,Machine Components,49350,49,50,92,1,52,87,1333598,63.05,Medium
V0113,Alpha IT Systems,Safety Equipment,Safety Shoes,11300,94,42,96,5,63,49,2883312,73.3,Medium
V0114,Elite Office Solutions,Logistics Services,Warehouse Services,28650,98,42,71,11,85,70,1512652,70.7,Medium
V0115,TechGlobal Solutions,Electrical Items,Electrical Components,9750,76,80,60,17,69,93,326548,66.3,Medium
V0116,Elite Office Solutions,Electrical Items,LED Lighting,2500,42,47,100,3,81,96,3271223,66.95,Medium
V0117,Elite Office Solutions,Logistics Services,Cargo Handling,29650,87,90,52,3,98,96,2123581,82.75,Low
V0118,Digital Edge Suppliers,Office Supplies,Files and Folders,700,45,97,56,5,44,99,2266794,63.0,Medium
V0119,ABC Raw Materials,Logistics Services,Transport Services,120850,47,71,74,14,64,88,772811,60.1,Medium
V0120,TechGlobal Solutions,Safety Equipment,Fire Extinguishers,9700,56,66,78,12,56,54,3897650,61.3,Medium
V0121,Alpha IT Systems,Office Supplies,Ink Cartridges,30200,72,67,60,0,52,78,814089,67.15,Medium
V0122,FutureNet Technologies,Safety Equipment,Protective Clothing,10200,91,75,97,9,83,86,524092,83.0,Low
V0123,ABC Raw Materials,IT Equipment,Laptop Computers,236050,67,66,42,7,87,51,1040527,65.55,Medium
V0124,Alpha IT Systems,Raw Materials,Industrial Raw Materials,49150,72,90,74,20,87,60,2706489,72.7,Medium
V0125,Digital Edge Suppliers,Safety Equipment,Safety Helmets,4750,86,51,99,15,54,41,4477014,67.35,Medium
V0126,ABC Raw Materials,Safety Equipment,Protective Gloves,1850,89,48,51,10,50,65,3217329,59.45,High
V0127,TechGlobal Solutions,Raw Materials,Plastic Materials,9500,65,62,68,0,81,97,4051115,71.55,Medium
V0128,Digital Edge Suppliers,Furniture,Office Furniture,75650,100,58,78,20,46,73,97992,64.3,Medium
V0129,Alpha IT Systems,Furniture,Office Desks,64550,96,91,77,14,58,51,250254,76.75,Medium
V0130,Digital Edge Suppliers,Safety Equipment,Safety Shoes,8350,42,82,42,3,74,94,1104927,62.7,Medium
V0131,ABC Raw Materials,Logistics Services,Freight Transportation,68200,68,93,89,11,71,55,1667271,76.75,Medium
V0132,Elite Office Solutions,Logistics Services,Local Delivery,18900,45,73,65,13,55,68,3461529,57.0,High
V0133,Prime Stationery Traders,Office Supplies,Office Consumables,4650,67,49,63,9,90,90,3637061,65.1,Medium
V0134,Alpha IT Systems,Electrical Items,Electrical Cables,300,64,50,40,9,72,52,1470330,56.4,High
V0135,ABC Raw Materials,Office Supplies,Printer Paper,2950,87,67,88,15,60,64,3460999,70.6,Medium
V0136,Prime Stationery Traders,Mechanical Parts,Gears,18650,56,62,40,6,82,75,1899456,60.9,Medium
V0137,Digital Edge Suppliers,Electrical Items,Switches and Sockets,4250,54,97,72,1,84,80,4554863,78.45,Medium
V0138,FutureNet Technologies,Mechanical Parts,Replacement Parts,42650,82,100,67,2,67,95,2842133,81.3,Low
V0139,Alpha IT Systems,Raw Materials,Metal Materials,12550,57,64,85,11,98,77,3037499,71.35,Medium
V0140,TechGlobal Solutions,Office Supplies,Stationery,3900,45,92,94,20,78,83,366697,68.65,Medium
V0141,Alpha IT Systems,Raw Materials,Production Materials,73900,94,74,45,12,56,81,3749874,66.2,Medium
V0142,FutureNet Technologies,Raw Materials,Packaging Materials,5400,53,89,57,15,49,53,1696327,59.2,High
V0143,Alpha IT Systems,Office Supplies,Files and Folders,1350,85,85,40,14,89,59,4347737,71.3,Medium
V0144,ABC Raw Materials,Raw Materials,Industrial Raw Materials,25650,75,84,99,7,48,77,1125374,75.65,Medium
V0145,OfficeMart Lanka,Raw Materials,Plastic Materials,3250,89,44,46,8,88,82,3331864,66.05,Medium
V0146,FutureNet Technologies,Office Supplies,Ink Cartridges,4850,68,52,96,20,43,58,3340568,57.8,High
V0147,Digital Edge Suppliers,Mechanical Parts,Industrial Components,148600,63,42,53,7,96,99,857638,62.55,Medium
V0148,Elite Office Solutions,Raw Materials,Metal Materials,44600,51,88,55,11,61,84,2205519,62.45,Medium
V0149,FutureNet Technologies,Safety Equipment,Fire Extinguishers,14950,67,85,74,3,66,51,1653446,74.5,Medium
V0150,TechGlobal Solutions,Office Supplies,Office Consumables,8250,89,65,93,14,44,80,2878397,68.9,Medium
V0151,ABC Raw Materials,Logistics Services,Warehouse Services,19800,62,45,81,4,46,84,4141423,60.15,Medium
V0152,Elite Office Solutions,IT Equipment,Desktop Computers,119600,99,41,47,7,82,80,1482807,67.3,Medium
V0153,FutureNet Technologies,Logistics Services,Cargo Handling,111450,93,49,75,3,76,69,3199893,74.2,Medium
V0154,Lanka Industrial Suppliers,Electrical Items,Circuit Breakers,13300,96,85,79,3,86,48,2906932,86.75,Low
V0155,Lanka Industrial Suppliers,Safety Equipment,Protective Clothing,8050,86,89,73,0,59,92,1088457,80.15,Low
V0156,Prime Stationery Traders,Safety Equipment,Safety Helmets,1850,71,76,78,20,95,45,3289034,71.35,Medium
V0157,Elite Office Solutions,Safety Equipment,Protective Gloves,2900,68,62,97,20,62,50,84399,64.3,Medium
V0158,FutureNet Technologies,Logistics Services,Transport Services,138650,49,52,79,9,56,58,1431254,57.75,High
V0159,Lanka Industrial Suppliers,Raw Materials,Production Materials,55000,81,55,90,16,51,42,1995465,64.2,Medium
V0160,Elite Office Solutions,Safety Equipment,Safety Shoes,13750,72,80,42,6,67,58,3660718,66.8,Medium
V0161,ABC Raw Materials,Logistics Services,Freight Transportation,25300,90,70,96,9,78,66,2539797,80.3,Low
V0162,OfficeMart Lanka,Office Supplies,Printer Paper,4000,96,48,72,13,93,85,1900373,72.5,Medium
V0163,Elite Office Solutions,Safety Equipment,Fire Extinguishers,27150,80,49,76,0,43,74,4259488,66.05,Medium
V0164,Alpha IT Systems,Safety Equipment,Protective Clothing,13100,90,92,44,4,86,84,3055986,79.5,Medium
V0165,Prime Stationery Traders,Logistics Services,Local Delivery,21900,47,94,56,9,96,89,1046480,71.15,Medium
V0166,ABC Raw Materials,Logistics Services,Warehouse Services,10300,81,98,77,11,79,91,3672212,80.45,Low
V0167,Lanka Industrial Suppliers,Office Supplies,Stationery,2450,76,48,94,15,77,49,723684,67.7,Medium
V0168,OfficeMart Lanka,Safety Equipment,Safety Helmets,5450,96,48,70,17,86,76,4797390,68.7,Medium
V0169,FutureNet Technologies,IT Equipment,Network Equipment,30400,98,90,57,16,60,60,199978,72.4,Medium
V0170,SmartTech Distributors,Safety Equipment,Protective Gloves,1650,65,50,52,5,94,51,4156473,65.45,Medium
V0171,Prime Stationery Traders,Raw Materials,Packaging Materials,3000,87,64,79,0,74,67,3897242,78.35,Medium
V0172,Digital Edge Suppliers,Raw Materials,Industrial Raw Materials,65000,90,74,48,18,53,76,1165698,62.2,Medium
V0173,SmartTech Distributors,Logistics Services,Cargo Handling,87450,67,93,44,5,44,59,3496211,65.1,Medium
V0174,SmartTech Distributors,Logistics Services,Transport Services,71000,80,48,78,13,80,93,3097794,67.1,Medium
V0175,Lanka Industrial Suppliers,Mechanical Parts,Bearings,27600,46,40,65,17,41,99,2015250,44.2,High
V0176,OfficeMart Lanka,Logistics Services,Freight Transportation,223050,93,54,51,18,67,86,4248886,61.35,Medium
V0177,Lanka Industrial Suppliers,Safety Equipment,Safety Shoes,16200,67,67,44,15,78,52,3084259,60.4,Medium
V0178,FutureNet Technologies,Electrical Items,Electrical Components,17550,77,77,84,8,76,93,169667,76.5,Medium
V0179,SmartTech Distributors,Office Supplies,Files and Folders,1700,46,56,91,0,83,72,2583299,70.3,Medium
V0180,OfficeMart Lanka,IT Equipment,Printers,114500,89,44,92,9,96,50,189223,76.35,Medium
V0181,OfficeMart Lanka,Raw Materials,Plastic Materials,10200,47,53,94,6,95,72,4812369,69.8,Medium
V0182,Lanka Industrial Suppliers,Raw Materials,Metal Materials,31250,46,55,96,17,88,72,1617331,63.55,Medium
V0183,SmartTech Distributors,Office Supplies,Ink Cartridges,31450,43,59,41,6,77,80,4851391,56.1,High
V0184,Prime Stationery Traders,Safety Equipment,Fire Extinguishers,10750,60,42,84,14,49,42,1581497,55.1,High
V0185,Alpha IT Systems,Office Supplies,Office Consumables,7500,79,46,52,8,95,56,3351024,66.65,Medium
V0186,SmartTech Distributors,Raw Materials,Production Materials,33250,92,72,63,7,40,81,3893426,68.1,Medium
V0187,Prime Stationery Traders,Office Supplies,Printer Paper,2200,80,49,78,11,46,61,3789901,61.55,Medium
V0188,OfficeMart Lanka,Logistics Services,Local Delivery,20700,75,52,43,8,90,59,2753908,64.35,Medium
V0189,Elite Office Solutions,Mechanical Parts,Machine Components,52050,79,51,55,19,50,96,2239851,54.0,High
V0190,Digital Edge Suppliers,Furniture,Office Chairs,67750,85,70,70,19,76,95,4666407,68.45,Medium
V0191,Alpha IT Systems,Raw Materials,Packaging Materials,5200,68,75,60,17,47,40,441862,58.65,High
V0192,TechGlobal Solutions,Raw Materials,Industrial Raw Materials,20150,73,62,89,13,82,67,1383673,71.45,Medium
V0193,TechGlobal Solutions,Mechanical Parts,Gears,36450,42,92,58,13,79,86,1110890,64.4,Medium
V0194,Elite Office Solutions,Safety Equipment,Protective Clothing,7750,72,50,54,8,90,63,4051529,65.3,Medium
V0195,FutureNet Technologies,Office Supplies,Stationery,1400,61,78,65,18,95,49,2741288,67.75,Medium
V0196,ABC Raw Materials,Mechanical Parts,Replacement Parts,42450,40,50,44,4,56,53,978465,50.5,High
V0197,Lanka Industrial Suppliers,Electrical Items,LED Lighting,10050,45,65,73,4,76,92,3831486,65.3,Medium
V0198,FutureNet Technologies,Office Supplies,Files and Folders,550,73,40,51,17,88,100,3097794,57.55,High
V0199,Prime Stationery Traders,IT Equipment,Computer Accessories,8550,63,67,66,16,94,97,2587822,66.5,Medium
V0200,Digital Edge Suppliers,Mechanical Parts,Industrial Components,50850,82,84,76,6,50,48,211875,73.7,Medium
V0201,Prime Stationery Traders,Office Supplies,Ink Cartridges,6450,42,44,59,4,83,54,2907195,57.9,High
V0202,TechGlobal Solutions,Mechanical Parts,Bearings,15950,64,96,94,18,88,71,4284699,77.4,Medium
V0203,FutureNet Technologies,Raw Materials,Plastic Materials,5850,100,52,48,1,43,75,3442167,65.7,Medium
V0204,Alpha IT Systems,Safety Equipment,Safety Helmets,8400,88,65,74,4,71,48,554278,75.25,Medium
V0205,Digital Edge Suppliers,Office Supplies,Office Consumables,2950,55,55,52,7,90,66,2898889,62.4,Medium
V0206,Prime Stationery Traders,Raw Materials,Metal Materials,22150,60,92,70,7,72,90,2318364,72.9,Medium
V0207,FutureNet Technologies,Electrical Items,Electrical Cables,4150,90,79,55,0,95,99,3249795,82.25,Low
V0208,Digital Edge Suppliers,Furniture,Storage Cabinets,42500,92,53,74,0,70,86,2608769,75.05,Medium
V0209,FutureNet Technologies,Safety Equipment,Protective Gloves,2600,61,42,97,12,58,76,3043358,60.75,Medium
V0210,FutureNet Technologies,Electrical Items,Switches and Sockets,1500,42,45,52,6,61,93,583195,51.35,High
V0211,TechGlobal Solutions,Mechanical Parts,Machine Components,133850,50,83,56,0,51,53,3180292,64.65,Medium
V0212,TechGlobal Solutions,Mechanical Parts,Gears,83550,59,44,78,18,78,89,434890,57.95,High
V0213,Digital Edge Suppliers,IT Equipment,Laptop Computers,207200,46,51,69,9,96,44,2185331,62.75,Medium
V0214,Alpha IT Systems,Electrical Items,Circuit Breakers,16300,63,87,90,2,70,82,3070836,78.5,Medium
V0215,ABC Raw Materials,Raw Materials,Production Materials,73850,45,48,43,4,48,81,412212,49.45,High
V0216,SmartTech Distributors,Electrical Items,Electrical Components,21900,60,43,53,8,79,63,3012057,58.15,High
V0217,Lanka Industrial Suppliers,Mechanical Parts,Replacement Parts,74050,90,80,53,5,42,40,4826074,69.0,Medium
V0218,FutureNet Technologies,Safety Equipment,Safety Shoes,6850,89,73,74,0,79,56,1287252,81.1,Low
V0219,TechGlobal Solutions,Furniture,Meeting Tables,163150,59,40,69,20,86,84,161373,55.75,High
V0220,ABC Raw Materials,Furniture,Office Furniture,57700,90,93,87,0,52,83,148177,83.55,Low
V0221,Lanka Industrial Suppliers,IT Equipment,Desktop Computers,171600,78,42,47,3,98,48,4172176,67.5,Medium
V0222,Alpha IT Systems,IT Equipment,Network Equipment,61500,69,99,81,4,97,56,1637267,85.6,Low
V0223,Alpha IT Systems,Safety Equipment,Fire Extinguishers,10700,53,63,62,1,63,40,2089816,63.5,Medium
V0224,ABC Raw Materials,Office Supplies,Printer Paper,2800,72,60,100,8,75,73,4385622,74.0,Medium
V0225,FutureNet Technologies,IT Equipment,Printers,108850,78,51,54,4,55,78,3214210,62.05,Medium
V0226,Digital Edge Suppliers,Electrical Items,LED Lighting,10750,80,100,97,10,52,55,287882,79.8,Medium
V0227,Digital Edge Suppliers,IT Equipment,Computer Accessories,34450,95,88,82,17,55,75,4085989,74.65,Medium
V0228,ABC Raw Materials,IT Equipment,Laptop Computers,283600,63,53,57,19,77,74,160571,56.3,High
V0229,Lanka Industrial Suppliers,Furniture,Office Desks,107500,60,57,49,20,91,57,1839210,57.25,High
V0230,ABC Raw Materials,Raw Materials,Packaging Materials,3700,49,89,76,6,47,87,3008894,66.1,Medium
V0231,ABC Raw Materials,Mechanical Parts,Industrial Components,109650,99,75,86,11,66,45,2194064,78.4,Medium
V0232,Prime Stationery Traders,Office Supplies,Stationery,2800,87,69,65,10,58,99,388045,68.6,Medium
V0233,TechGlobal Solutions,Mechanical Parts,Bearings,3650,87,42,69,19,43,97,2926102,55.15,High
V0234,Lanka Industrial Suppliers,Electrical Items,Electrical Cables,600,64,80,69,3,54,56,2589913,69.1,Medium
V0235,Digital Edge Suppliers,Safety Equipment,Protective Clothing,13400,83,57,94,16,95,84,3165370,74.8,Medium
V0236,Lanka Industrial Suppliers,Raw Materials,Industrial Raw Materials,69150,54,96,69,15,80,93,1490952,69.8,Medium
V0237,Digital Edge Suppliers,Electrical Items,Switches and Sockets,1250,93,69,66,4,70,69,1742303,75.7,Medium
V0238,Digital Edge Suppliers,Office Supplies,Files and Folders,1250,57,64,85,11,67,53,4620034,65.15,Medium
V0239,Lanka Industrial Suppliers,Electrical Items,Circuit Breakers,13250,53,43,53,10,48,67,4866433,49.2,High
V0240,Alpha IT Systems,Logistics Services,Warehouse Services,69200,49,71,67,17,92,96,941135,63.3,Medium
V0241,Digital Edge Suppliers,IT Equipment,Desktop Computers,140600,49,80,98,18,43,50,284742,61.45,Medium
V0242,Lanka Industrial Suppliers,Raw Materials,Plastic Materials,10150,50,46,71,15,60,75,4575531,52.7,High
V0243,Digital Edge Suppliers,Office Supplies,Ink Cartridges,8950,40,70,57,20,44,94,4963287,47.7,High
V0244,SmartTech Distributors,Office Supplies,Office Consumables,1800,89,90,44,19,62,75,4570239,66.45,Medium
V0245,ABC Raw Materials,Electrical Items,Electrical Components,22950,50,46,74,5,89,67,2653888,64.1,Medium
V0246,Prime Stationery Traders,Mechanical Parts,Machine Components,121900,57,96,62,2,90,98,4568682,77.65,Medium
V0247,FutureNet Technologies,Mechanical Parts,Gears,32350,99,40,69,1,83,86,1408331,74.65,Medium
